Alt Kategori,description,mpn,quantity,link
DC-DC Converters,Isolated Module DC DC Converter 1 Output 5V 400mA 4.5V - 5.5V Input,NXE2S0505MC-R13,2,https://www.digikey.com/en/products/detail/murata-power-solutions-inc/NXE2S0505MC-R13/6009751
DC-DC Converters,Isolated Module DC DC Converter 1 Output 5V 400mA 4.5V - 5.5V Input,1769405141,7,https://www.digikey.com/en/products/detail/würth-elektronik/1769405141/16910454
