Alt Kategori,description,mpn,quantity,link
NPN,Bipolar (BJT) Transistor NPN 160 V 600 mA 225 mW Surface Mount SOT-23-3 (TO-236),MMBT5551LT1G,29,https://www.digikey.com/en/products/detail/onsemi/MMBT5551LT1G/919615?gclsrc=aw.ds&gad_source=1&gad_campaignid=21513785267&gbraid=0AAAAADrbLlhmeFwkXHznfScA6ttruPvMQ&gclid=Cj0KCQjwqqDFBhDhARIsAIHTlks6XBMpDFFLvp-uHu-Mi2K-Ru7XKwb0YPGwumV6eAhlsSIsmoRi-3EaAgj2EALw_wcB
NPN,Bipolar (BJT) Transistor NPN 45 V 100 mA 300MHz 300 mW Surface Mount SOT-23-3,BC847B-7-F,3,https://www.digikey.com/en/products/detail/diodes-incorporated/BC847B-7-F/1934450
PNP,Bipolar (BJT) Transistor PNP 45 V 100 mA 150MHz 500 mW Through Hole TO-92-3,BC557BTA,8,https://www.digikey.be/en/products/detail/onsemi/BC557BTA/975575?srsltid=AfmBOoqqsnlN2BESYWBe5j8dSMq94qST8UBYHFibJ60ypq2O9j7gQT92
