Alt Kategori,description,mpn,quantity,link
"Alarms, Buzzers, and Sirens","Buzzers Transducer, Externally Driven Piezo 5 V 3mA 4.1kHz 83dB @ 5V, 10cm Surface Mount Solder Pads",CPT-1117-83-SMT-TR,4,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CPT-1117-83-SMT-TR/10326189
"Alarms, Buzzers, and Sirens","Buzzers Transducer, Externally Driven Magnetic 5 V 150mA 4kHz 100dB @ 5V, 10cm Surface Mount Solder Pads",CMT-8504-100-SMT-TR,5,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CMT-8504-100-SMT-TR/10326202
"Alarms, Buzzers, and Sirens","Buzzers Indicator, Internally Driven Electromechanical/Magnetic 5 V 30mA 2.73kHz 82dB @ 5V, 10cm Through Hole PC Pins",AI-1027-TWT-5V-2-R,5,https://www.digikey.com/en/products/detail/pui-audio-inc/AI-1027-TWT-5V-2-R/5011389
