Alt Kategori,description,mpn,quantity,link
"Transistor, Photovoltaic Output Optoisolators",Optoisolator Transistor Output 5000Vrms 1 Channel 4-DIP-S,140817142000,10,https://www.digikey.com/en/products/detail/würth-elektronik/140817142000/13584802
"Transistor, Photovoltaic Output Optoisolators",Optoisolator Transistor Output 3750Vrms 4 Channel 16-SOP,TCMT4100,30,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/TCMT4100/1819946
Digital Isolators,"RS422, RS485 Digital Isolator 2500Vrms 2 Channel 500kbps 25kV/µs CMTI 20-SOIC (0.295"", 7.50mm Width)",ADM2587EBRWZ-REEL7,18,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM2587EBRWZ-REEL7/2261071
