Alt Kategori,description,mpn,quantity,link
RF Transceiver Modules and Modems,Bluetooth Bluetooth v5.2 Transceiver Module 2.4GHz PCB Trace Surface Mount,BC805M,10,https://www.digikey.com/en/products/detail/fanstel-corp/BC805M/13174325?gclsrc=aw.ds&gad_source=1&gad_campaignid=21513785267&gbraid=0AAAAADrbLlhZbyHWuSa2X-VHbaM-qSRgq&gclid=Cj0KCQjwzOvEBhDVARIsADHfJJQZlTnjAH0I1a8e8jpccC0OIr1WvYLDGZoxi-yCZz8AybawqLCHUvUaAq4zEALw_wcB
RF Transceiver Modules and Modems,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount",ESP32-WROOM-32E-N4,6,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32E-N4/11613125
RFI and EMI - Shielding and Absorbing Materials,"RF EMI Absorbing Sheet - Aluminum Foil Non-Conductive, Single Sided 2.913"" (74.00mm) X 4.134"" (105.00mm) X 0.003"" (0.07mm)",371001,1,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/371001/24714028
