Alt Kategori,description,mpn,quantity,link
Tactile Switches,Tactile Switch SPST-NO Top Actuated Surface Mount,KMR223G LFG,17,https://www.digikey.com/en/products/detail/c-k/KMR223G-LFG/550478
Tactile Switches,Tactile Switch SPST-NO Top Actuated Surface Mount,434121043836,25,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/434121043836/5209080
DIP Switches,DIP Switches/SIP Switches WS-DITV 1p 2.54 mm Pitch Horizontal Box Type THT flat Actuator red without Tape,418117170901,25,https://eu.mouser.com/ProductDetail/Wurth-Elektronik/418117170901?qs=wr8lucFkNMWz5mbsVszqOg%3D%3D
