Alt Kategori,description,mpn,quantity,link
Circular Cable Assemblies,Circular Cable Assembly Unshielded 0.66' (200.00mm),T4070014041-001,5,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/T4070014041-001/7927411
Rectangular Cable Assemblies,"10 Position Cable Assembly Rectangular Socket to Socket 0.500' (152.40mm, 6.00"")",H3CCH-1006M,5,https://www.digikey.com/en/products/detail/assmann-wsw-components/H3CCH-1006M/1218556
Barrel Power Cables,"Cable Assembly 2.1mm ID, 5.5mm OD Plug to Wire Leads Flat 3.00' (915.00mm)",10-02956,5,https://www.digikey.com/en/products/detail/tensility-international-corp/10-02956/8660979
