Alt Kategori,description,mpn,quantity,link
Unshielded,Unshielded 2 Coil Inductor Array Inductance - Connected in Series Inductance - Connected in Parallel DC Resistance (DCR) - Parallel 1.9 A Nonstandard,74488540070,3,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74488540070/3672709
Array,2 Coil Inductor Array Inductance - Connected in Series Inductance - Connected in Parallel DC Resistance (DCR) - Parallel Nonstandard,74488540250,3,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74488540250/3672713
Shielded,6.8 mH Shielded Drum Core Wirewound Inductor 240 mA 10Ohm Max Radial Vertical Cylinder,7447471682,3,https://www.digikey.co.uk/en/products/detail/w%C3%BCrth-elektronik/7447471682/2794438?srsltid=AfmBOooj51HeWzTHjej6aZV32yIcgS2OzonXsvrJT4VGp0faQ4zKpu-o
Shielded,1 mH Shielded Wirewound Inductor 220 mA 6.44Ohm Nonstandard,74404063102,3,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74404063102/5353074
Shielded,1 mH Shielded Wirewound Inductor 200 mA 6Ohm Nonstandard,74404054102,3,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74404054102/5353072?s=N4IgTCBcDaIOwBYEAYUFYEEZkQLoF8g
