Alt Kategori,description,mpn,quantity,link
PTC,"PTC Resettable Fuse 8V 500 mA Ih Surface Mount 1206 (3216 Metric), Concave",FSMD050-1206-R,10,https://www.digikey.com/en/products/detail/rfe-fuzetec/FSMD050-1206-R/14291297
"Varistors, MOVs",430 V 10 kA Varistor 1 Circuit Through Hole Disc 20mm,TMOV20RP275E,5,https://www.digikey.com/en/products/detail/littelfuse-inc/TMOV20RP275E/1154460
"Varistors, MOVs",Varistors 0.6x0.3mm EIA 0201,AVRM0603C080M101,20,https://www.mouser.ca/ProductDetail/TDK/AVRM0603C080MT101N?qs=sGAEpiMZZMv1TUPJeFpwbsB9VF8pglJtp4yT%252BFRSiD5oSDKBfOVb6g%3D%3D&srsltid=AfmBOor3g1c8K7obkP90jsspzYc8EJv2mNYQMSRebc3qO5dQydEoeIKH
Fuses,Fuse Clip 15 A 1 Circuit Cartridge Chassis Mount,3565,50,https://www.digikey.com/en/products/detail/keystone-electronics/3565/316034
