Alt Kategori,description,mpn,quantity,link
Common mode Choke,2 Line Common Mode Choke Surface Mount 90 Ohms @ 100 MHz 400mA DCR 300mOhm,SRF2012-900YA,42,https://www.digikey.com/en/products/detail/bourns-inc/SRF2012-900YA/2681261
Ferrite Bead,330 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 1.5A 70mOhm,BLM21PG331SN1D,9,https://www.digikey.com/en/products/detail/murata-electronics/BLM21PG331SN1D/1915299
Ferrite Bead,21 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 6A 4mOhm,FBMJ2125HM210NT,7,https://www.digikey.com/en/products/detail/taiyo-yuden/FBMJ2125HM210NT/957831
