Alt Kategori,description,mpn,quantity,link
Evaluation Boards,"LSM6DS33 Accelerometer, Gyroscope Sensor mikroBUS™ Click™ Platform Evaluation Expansion Board",MIKROE-1941,1,https://www.digikey.ca/en/products/detail/mikroelektronika/MIKROE-1941/5668729
Evaluation Boards,PD15-22C/TR8 Light Sensor mikroBUS™ Click™ Platform Evaluation Expansion Board,MIKROE-1424,1,https://www.digikey.in/en/products/detail/mikroelektronika/MIKROE-1424/4495467
Development Board,"DSP, MCU LaunchPad™ Debugger",LP-XDS110,2,https://www.digikey.com/en/products/detail/texas-instruments/LP-XDS110/21737551
