Alt Kategori,description,mpn,quantity,link
Crystals,"32.768 kHz ±20ppm Crystal 7pF 70 kOhms 2-SMD, No Lead","Q 0,032768-JTX310-7-20-T1-HMR-LF",27,https://www.digikey.com/en/products/detail/jauch-quartz/Q-0-032768-JTX310-7-20-T1-HMR-LF/8108095
Crystals,"8 MHz ±20ppm Crystal 8pF 85 Ohms 2-SMD, No Lead",H130A-8.000-8-2030-TR,24,https://www.digikey.com/en/products/detail/raltron-electronics/H130A-8-000-8-2030-TR/10272271
Crystals,"32.768 kHz ±20ppm Crystal 7pF 70 kOhms 2-SMD, No Lead",ABS07-32.768KHZ-7-T,7,https://www.digikey.com/en/products/detail/abracon-llc/ABS07-32-768KHZ-7-T/1236859
