Alt Kategori,description,mpn,quantity,link
"Battery Holders, Clips, Contacts",Battery Holder (Open) AA 4 Cell PC Pin,2477,2,https://www.digikey.com/en/products/detail/keystone-electronics/2477/303822
"Battery Holders, Clips, Contacts",Battery Holder (Open) AA 3 Cell PC Pin,2464,2,https://www.digikey.com/en/products/detail/keystone-electronics/2464/303813
"Battery Holders, Clips, Contacts","Battery Contact Spring (Leaf) Multiple (A, AA, CR2, 17mm ~ 19mm) 1 Cell PC Pin",1017-1,25,https://www.digikey.com/en/products/detail/keystone-electronics/1017-1/4499386
