Alt Kategori,description,mpn,quantity,link
Relays,General Purpose Relay SPDT (1 Form C) Through Hole,SR3-5V-150-1C,2,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SR3-5V-150-1C/16602092
Relays,General Purpose Relay SPDT (1 Form C) Through Hole,J1031C5VDC.15S,5,https://www.digikey.com/en/products/detail/cit-relay-and-switch/J1031C5VDC-15S/14002065
Relays,General Purpose Relay SPDT (1 Form C) Through Hole,G5V-1 DC5,4,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/G5V-1-DC5/87831
