Alt Kategori,description,mpn,quantity,link
"Board Spacers, Standoffs","Round Standoff Threaded M3x0.5 Steel 0.197"" (5.00mm)",9774050360R,21,https://www.digikey.com/en/products/detail/würth-elektronik/9774050360R/4810234
Miscellaneous,"Insert Yellow 0.14"" Dia x 0.16"" H (3.6mm x 4.0mm)",M20X157C,15,https://www.digikey.com/en/products/detail/tri-star-industries-inc/M20X157C/13535373
"Board Spacers, Standoffs","Board Support Snap Lock / Snap Lock Nylon 0.197"" (5.00mm)",709651500,9,https://www.digikey.com/en/products/detail/würth-elektronik/709651500/6174576
