Alt Kategori,description,mpn,quantity,link
White,"White LED Indication - Discrete 3.3V 2-SMD, J-Lead",LTW-010DCG,9,https://www.digikey.com/en/products/detail/liteon/LTW-010DCG/3198802
Green,Green 525nm LED Indication - Discrete 3.2V 0402 (1005 Metric),150040GS73240,96,https://www.digikey.com/en/products/detail/würth-elektronik/150040GS73240/8557155
Red,Red 625nm LED Indication - Discrete 1.8V Radial,WP7113LSECK/J3,10,https://www.digikey.com/en/products/detail/kingbright/WP7113LSECK-J3/5177417
