Alt Kategori,description,mpn,quantity,link
General Purpose Diode,Diode 100 V 150mA Surface Mount SOD-123,1N4148W-7-F,2,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148W-7-F/814371
Array Diode,"Diode Array 1 Pair Series Connection 400 V 100mA Surface Mount TO-236-3, SC-59, SOT-23-3",1SS398TE85LF,22,https://www.digikey.in/en/products/detail/toshiba-semiconductor-and-storage/1SS398TE85LF/3844801
Zener Diode,Zener Diode 5.1 V 5 W ±5% Surface Mount DO-214AA (SMB),SMBJ5338B-TP,8,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/SMBJ5338B-TP/1636160
