Alt Kategori,description,mpn,quantity,link
NTC,NTC Thermistor 10k 0603 (1608 Metric),NCU18XH103F6SRB,4,https://www.digikey.com/en/products/detail/murata-electronics/NCU18XH103F6SRB/7243451
PIN Photo Diode,"Photodiode 900nm 130° 2-DIP (0.200"", 5.10mm)",BPW34,12,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/BPW34/1681149?gclsrc=aw.ds&gad_source=1&gad_campaignid=21513785267&gbraid=0AAAAADrbLlju16khCHHv0-XpknLTPZ0L4&gclid=CjwKCAjw-svEBhB6EiwAEzSdruPKLLOAHPNQDpzp7QvennpJmuJuNXoeff7s1mfEzDqqSqvdVaQejRoCig4QAvD_BwE
Photo Diode,Photodiode 900nm 20ns 130° Radial,SFH 235 FA,4,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/SFH-235-FA/1228075
Sensor,"Pressure Sensor 2.18PSI ~ 16.68PSI (15kPa ~ 115kPa) Absolute Male - 0.13"" (3.3mm) Tube 0.12 V ~ 2.8 V 8-SOIC (0.295"", 7.50mm Width)",MP3H6115A6U,3,https://www.digikey.com/en/products/detail/nxp-usa-inc/MP3H6115A6U/1168059
