Alt Kategori,description,mpn,quantity,link
JFET,"JFETs 5 mA, 35 V, N-Channel JFET Transistor",J112,2,https://www.mouser.com.tr/ProductDetail/onsemi-Fairchild/J112?qs=ljbEvF4DwONoDl3CPnuhug%3D%3D&srsltid=AfmBOorT0iRbGa_sVk4BEzcxp4eIbw4dilG0modWcWcJSbpBO9X6Hp0j
JFET,JFET N-Channel 40 V 225 mW Surface Mount SOT-23-3,MMBF4117,10,https://www.digikey.com/en/products/detail/onsemi/MMBF4117/1049290
JFET,JFET N-Channel 30 V 300 mW Surface Mount SOT-23-3,SST4416 SOT-23 3L ROHS,5,https://www.digikey.com/en/products/detail/linear-integrated-systems-inc/SST4416-SOT-23-3L-ROHS/14312275
