Alt Kategori,description,mpn,quantity,link
N-MOS,N-Channel 600 V 200mA (Tj) 1.6W (Ta) Surface Mount TO-243AA (SOT-89),VN2460N8-G,31,https://www.digikey.com/en/products/detail/microchip-technology/VN2460N8-G/4902990?gclsrc=aw.ds&gad_source=1&gad_campaignid=21513785267&gbraid=0AAAAADrbLlhmeFwkXHznfScA6ttruPvMQ&gclid=Cj0KCQjwqqDFBhDhARIsAIHTlkvrwyfa_CfPG95lfNnqY1hnj5gIguF2NCXMtAnp4_WiYvXIEbJ9yskaAt93EALw_wcB
P-MOS,"MOSFET Transistor, PNP, Channel Type: P Channel 220v",2N3906B331,16,https://www.indiamart.com/proddetail/2n3906b331-mosfet-transistor-27506061697.html?srsltid=AfmBOopUNoSfsQOKan2yMNXfFNlIfHOMOa6y6wV0NOZ8B2R639ZU4A8D
P-MOS,P-Channel 20 V 3.7A (Ta) 1.3W (Ta) Surface Mount Micro3™/SOT-23,IRLML6402TRPBF,3,https://www.digikey.com/en/products/detail/infineon-technologies/IRLML6402TRPBF/811437
